Delay_95	Impact_95	Delay_90	Impact_90	Delay_85	Impact_85	Delay_80	Impact_80	Delay_75	Impact_75	Delay_70	Impact_70
7.9	0.068	6.7	0.068	5.4	0.068	4	0.068	2.5	0.068	0.9	0.068
7.8	0.069	6.6	0.069	5.3	0.069	3.9	0.069	2.5	0.069	0.9	0.069
7.7	0.07	6.5	0.07	5.3	0.07	3.9	0.07	2.4	0.07	0.9	0.07
7.6	0.071	6.5	0.071	5.2	0.071	3.8	0.071	2.4	0.071	0.9	0.071
7.6	0.072	6.4	0.072	5.1	0.072	3.8	0.072	2.4	0.072	0.8	0.072
7.5	0.073	6.3	0.073	5.1	0.073	3.8	0.073	2.3	0.073	0.8	0.073
7.4	0.074	6.3	0.074	5	0.074	3.7	0.074	2.3	0.074	0.8	0.074
7.3	0.075	6.2	0.075	5	0.075	3.7	0.075	2.3	0.075	0.8	0.075
7.3	0.076	6.1	0.076	4.9	0.076	3.6	0.076	2.3	0.076	0.8	0.076
7.2	0.077	6.1	0.077	4.9	0.077	3.6	0.077	2.2	0.077	0.8	0.077
7.1	0.078	6	0.078	4.8	0.078	3.5	0.078	2.2	0.078	0.8	0.078
7	0.079	5.9	0.079	4.8	0.079	3.5	0.079	2.2	0.079	0.8	0.079
7	0.08	5.9	0.08	4.7	0.08	3.5	0.08	2.2	0.08	0.8	0.08
6.9	0.081	5.8	0.081	4.7	0.081	3.4	0.081	2.1	0.081	0.8	0.081
6.8	0.082	5.8	0.082	4.6	0.082	3.4	0.082	2.1	0.082	0.7	0.082
6.8	0.083	5.7	0.083	4.6	0.083	3.4	0.083	2.1	0.083	0.7	0.083
6.7	0.084	5.6	0.084	4.5	0.084	3.3	0.084	2.1	0.084	0.7	0.084
6.6	0.085	5.6	0.085	4.5	0.085	3.3	0.085	2	0.085	0.7	0.085
6.6	0.086	5.5	0.086	4.4	0.086	3.3	0.086	2	0.086	0.7	0.086
6.5	0.087	5.5	0.087	4.4	0.087	3.2	0.087	2	0.087	0.7	0.087
6.5	0.088	5.4	0.088	4.3	0.088	3.2	0.088	2	0.088	0.7	0.088
6.4	0.089	5.4	0.089	4.3	0.089	3.2	0.089	2	0.089	0.7	0.089
6.3	0.09	5.3	0.09	4.3	0.09	3.1	0.09	1.9	0.09	0.7	0.09
6.3	0.091	5.3	0.091	4.2	0.091	3.1	0.091	1.9	0.091	0.7	0.091
6.2	0.092	5.2	0.092	4.2	0.092	3.1	0.092	1.9	0.092	0.7	0.092
6.2	0.093	5.2	0.093	4.1	0.093	3	0.093	1.9	0.093	0.7	0.093
6.1	0.094	5.1	0.094	4.1	0.094	3	0.094	1.9	0.094	0.7	0.094
6.1	0.095	5.1	0.095	4.1	0.095	3	0.095	1.8	0.095	0.6	0.095
6	0.096	5	0.096	4	0.096	3	0.096	1.8	0.096	0.6	0.096
6	0.097	5	0.097	4	0.097	2.9	0.097	1.8	0.097	0.6	0.097
5.9	0.098	5	0.098	4	0.098	2.9	0.098	1.8	0.098	0.6	0.098
5.9	0.099	4.9	0.099	3.9	0.099	2.9	0.099	1.8	0.099	0.6	0.099
5.8	0.1	4.9	0.1	3.9	0.1	2.9	0.1	1.8	0.1	0.6	0.1
5.8	0.101	4.8	0.101	3.9	0.101	2.8	0.101	1.7	0.101	0.6	0.101
5.7	0.102	4.8	0.102	3.8	0.102	2.8	0.102	1.7	0.102	0.6	0.102
5.7	0.103	4.8	0.103	3.8	0.103	2.8	0.103	1.7	0.103	0.6	0.103
5.6	0.104	4.7	0.104	3.8	0.104	2.8	0.104	1.7	0.104	0.6	0.104
5.6	0.105	4.7	0.105	3.7	0.105	2.7	0.105	1.7	0.105	0.6	0.105
5.5	0.106	4.6	0.106	3.7	0.106	2.7	0.106	1.7	0.106	0.6	0.106
5.5	0.107	4.6	0.107	3.7	0.107	2.7	0.107	1.7	0.107	0.6	0.107
5.4	0.108	4.6	0.108	3.6	0.108	2.7	0.108	1.6	0.108	0.6	0.108
5.4	0.109	4.5	0.109	3.6	0.109	2.6	0.109	1.6	0.109	0.6	0.109
5.4	0.11	4.5	0.11	3.6	0.11	2.6	0.11	1.6	0.11	0.6	0.11
5.3	0.111	4.5	0.111	3.5	0.111	2.6	0.111	1.6	0.111	0.6	0.111
5.3	0.112	4.4	0.112	3.5	0.112	2.6	0.112	1.6	0.112	0.5	0.112
5.2	0.113	4.4	0.113	3.5	0.113	2.6	0.113	1.6	0.113	0.5	0.113
5.2	0.114	4.4	0.114	3.5	0.114	2.5	0.114	1.6	0.114	0.5	0.114
5.2	0.115	4.3	0.115	3.4	0.115	2.5	0.115	1.5	0.115	0.5	0.115
5.1	0.116	4.3	0.116	3.4	0.116	2.5	0.116	1.5	0.116	0.5	0.116
5.1	0.117	4.3	0.117	3.4	0.117	2.5	0.117	1.5	0.117	0.5	0.117
5.1	0.118	4.2	0.118	3.4	0.118	2.5	0.118	1.5	0.118	0.5	0.118
5	0.119	4.2	0.119	3.3	0.119	2.4	0.119	1.5	0.119	0.5	0.119
5	0.12	4.2	0.12	3.3	0.12	2.4	0.12	1.5	0.12	0.5	0.12
4.9	0.121	4.1	0.121	3.3	0.121	2.4	0.121	1.5	0.121	0.5	0.121
4.9	0.122	4.1	0.122	3.3	0.122	2.4	0.122	1.5	0.122	0.5	0.122
4.9	0.123	4.1	0.123	3.2	0.123	2.4	0.123	1.5	0.123	0.5	0.123
4.8	0.124	4	0.124	3.2	0.124	2.3	0.124	1.4	0.124	0.5	0.124
4.8	0.125	4	0.125	3.2	0.125	2.3	0.125	1.4	0.125	0.5	0.125
4.8	0.126	4	0.126	3.2	0.126	2.3	0.126	1.4	0.126	0.5	0.126
4.7	0.127	4	0.127	3.1	0.127	2.3	0.127	1.4	0.127	0.5	0.127
4.7	0.128	3.9	0.128	3.1	0.128	2.3	0.128	1.4	0.128	0.5	0.128
4.7	0.129	3.9	0.129	3.1	0.129	2.3	0.129	1.4	0.129	0.5	0.129
4.6	0.13	3.9	0.13	3.1	0.13	2.2	0.13	1.4	0.13	0.5	0.13
4.6	0.131	3.9	0.131	3.1	0.131	2.2	0.131	1.4	0.131	0.5	0.131
4.6	0.132	3.8	0.132	3	0.132	2.2	0.132	1.4	0.132	0.5	0.132
4.6	0.133	3.8	0.133	3	0.133	2.2	0.133	1.3	0.133	0.5	0.133
4.5	0.134	3.8	0.134	3	0.134	2.2	0.134	1.3	0.134	0.5	0.134
4.5	0.135	3.8	0.135	3	0.135	2.2	0.135	1.3	0.135	0.5	0.135
4.5	0.136	3.7	0.136	3	0.136	2.2	0.136	1.3	0.136	0.4	0.136
