Impact_70	Delay_70	Impact_80	Delay_80	Delay_75	Impact_75	Delay_85	Impact_85	Delay_90	Impact_90	Delay_95	Impact_95
0.069	0.1	0.069	2.7	1	0.069	4.4	0.069	6.2	0.069	8.1	0.069
0.07	0.1	0.07	2.7	1	0.07	4.4	0.07	6.1	0.07	7.9	0.07
0.071	0.1	0.071	2.6	1	0.071	4.3	0.071	6	0.071	7.8	0.071
0.072	0.1	0.072	2.6	1	0.072	4.2	0.072	5.9	0.072	7.7	0.072
0.073	0.1	0.073	2.6	1	0.073	4.2	0.073	5.9	0.073	7.6	0.073
0.074	0.1	0.074	2.5	1	0.074	4.1	0.074	5.8	0.074	7.5	0.074
0.075	0.1	0.075	2.5	0.9	0.075	4.1	0.075	5.7	0.075	7.4	0.075
0.076	0.1	0.076	2.5	0.9	0.076	4	0.076	5.6	0.076	7.3	0.076
0.077	0.1	0.077	2.4	0.9	0.077	4	0.077	5.6	0.077	7.2	0.077
0.078	0.1	0.078	2.4	0.9	0.078	3.9	0.078	5.5	0.078	7.1	0.078
0.079	0.1	0.079	2.4	0.9	0.079	3.9	0.079	5.4	0.079	7	0.079
0.08	0.1	0.08	2.3	0.9	0.08	3.8	0.08	5.3	0.08	6.9	0.08
0.081	0.1	0.081	2.3	0.9	0.081	3.8	0.081	5.3	0.081	6.8	0.081
0.082	0.1	0.082	2.3	0.9	0.082	3.7	0.082	5.2	0.082	6.8	0.082
0.083	0.1	0.083	2.3	0.8	0.083	3.7	0.083	5.2	0.083	6.7	0.083
0.084	0.1	0.084	2.2	0.8	0.084	3.6	0.084	5.1	0.084	6.6	0.084
0.085	0.1	0.085	2.2	0.8	0.085	3.6	0.085	5	0.085	6.5	0.085
0.086	0.1	0.086	2.2	0.8	0.086	3.6	0.086	5	0.086	6.4	0.086
0.087	0.1	0.087	2.2	0.8	0.087	3.5	0.087	4.9	0.087	6.4	0.087
0.088	0.1	0.088	2.1	0.8	0.088	3.5	0.088	4.9	0.088	6.3	0.088
0.089	0.1	0.089	2.1	0.8	0.089	3.4	0.089	4.8	0.089	6.2	0.089
0.09	0.1	0.09	2.1	0.8	0.09	3.4	0.09	4.7	0.09	6.2	0.09
0.091	0.1	0.091	2.1	0.8	0.091	3.4	0.091	4.7	0.091	6.1	0.091
0.092	0.1	0.092	2	0.8	0.092	3.3	0.092	4.6	0.092	6	0.092
0.093	0.1	0.093	2	0.8	0.093	3.3	0.093	4.6	0.093	6	0.093
0.094	0.1	0.094	2	0.7	0.094	3.3	0.094	4.5	0.094	5.9	0.094
0.095	0.1	0.095	2	0.7	0.095	3.2	0.095	4.5	0.095	5.8	0.095
0.096	0.1	0.096	1.9	0.7	0.096	3.2	0.096	4.5	0.096	5.8	0.096
0.097	0.1	0.097	1.9	0.7	0.097	3.2	0.097	4.4	0.097	5.7	0.097
0.098	0.1	0.098	1.9	0.7	0.098	3.1	0.098	4.4	0.098	5.6	0.098
0.099	0.1	0.099	1.9	0.7	0.099	3.1	0.099	4.3	0.099	5.6	0.099
0.1	0.1	0.1	1.9	0.7	0.1	3.1	0.1	4.3	0.1	5.5	0.1
0.101	0.1	0.101	1.8	0.7	0.101	3	0.101	4.2	0.101	5.5	0.101
0.102	0.1	0.102	1.8	0.7	0.102	3	0.102	4.2	0.102	5.4	0.102
0.103	0.1	0.103	1.8	0.7	0.103	3	0.103	4.1	0.103	5.4	0.103
0.104	0.1	0.104	1.8	0.7	0.104	2.9	0.104	4.1	0.104	5.3	0.104
0.105	0.1	0.105	1.8	0.7	0.105	2.9	0.105	4.1	0.105	5.3	0.105
0.106	0.1	0.106	1.8	0.7	0.106	2.9	0.106	4	0.106	5.2	0.106
0.107	0.1	0.107	1.7	0.6	0.107	2.9	0.107	4	0.107	5.2	0.107
0.108	0.1	0.108	1.7	0.6	0.108	2.8	0.108	4	0.108	5.1	0.108
0.109	0.1	0.109	1.7	0.6	0.109	2.8	0.109	3.9	0.109	5.1	0.109
0.11	0.1	0.11	1.7	0.6	0.11	2.8	0.11	3.9	0.11	5	0.11
0.111	0.1	0.111	1.7	0.6	0.111	2.8	0.111	3.8	0.111	5	0.111
0.112	0.1	0.112	1.7	0.6	0.112	2.7	0.112	3.8	0.112	4.9	0.112
0.113	0.1	0.113	1.6	0.6	0.113	2.7	0.113	3.8	0.113	4.9	0.113
0.114	0.1	0.114	1.6	0.6	0.114	2.7	0.114	3.7	0.114	4.8	0.114
0.115	0.1	0.115	1.6	0.6	0.115	2.7	0.115	3.7	0.115	4.8	0.115
0.116	0.1	0.116	1.6	0.6	0.116	2.6	0.116	3.7	0.116	4.8	0.116
0.117	0.1	0.117	1.6	0.6	0.117	2.6	0.117	3.6	0.117	4.7	0.117
0.118	0.1	0.118	1.6	0.6	0.118	2.6	0.118	3.6	0.118	4.7	0.118
0.119	0.1	0.119	1.6	0.6	0.119	2.6	0.119	3.6	0.119	4.6	0.119
0.12	0.1	0.12	1.5	0.6	0.12	2.5	0.12	3.6	0.12	4.6	0.12
0.121	0.1	0.121	1.5	0.6	0.121	2.5	0.121	3.5	0.121	4.6	0.121
0.122	0.1	0.122	1.5	0.6	0.122	2.5	0.122	3.5	0.122	4.5	0.122
0.123	0.1	0.123	1.5	0.6	0.123	2.5	0.123	3.5	0.123	4.5	0.123
0.124	0.1	0.124	1.5	0.6	0.124	2.5	0.124	3.4	0.124	4.5	0.124
0.125	0.1	0.125	1.5	0.5	0.125	2.4	0.125	3.4	0.125	4.4	0.125
0.126	0.1	0.126	1.5	0.5	0.126	2.4	0.126	3.4	0.126	4.4	0.126
0.127	0.1	0.127	1.5	0.5	0.127	2.4	0.127	3.4	0.127	4.3	0.127
0.128	0.1	0.128	1.4	0.5	0.128	2.4	0.128	3.3	0.128	4.3	0.128
0.129	0.1	0.129	1.4	0.5	0.129	2.4	0.129	3.3	0.129	4.3	0.129
0.13	0.1	0.13	1.4	0.5	0.13	2.3	0.13	3.3	0.13	4.2	0.13
0.131	0.1	0.131	1.4	0.5	0.131	2.3	0.131	3.3	0.131	4.2	0.131
0.132	0.1	0.132	1.4	0.5	0.132	2.3	0.132	3.2	0.132	4.2	0.132
0.133	0.1	0.133	1.4	0.5	0.133	2.3	0.133	3.2	0.133	4.1	0.133
0.134	0.1	0.134	1.4	0.5	0.134	2.3	0.134	3.2	0.134	4.1	0.134
0.135	0.1	0.135	1.4	0.5	0.135	2.3	0.135	3.2	0.135	4.1	0.135
0.136	0.1	0.136	1.4	0.5	0.136	2.2	0.136	3.1	0.136	4.1	0.136
0.137	0.1	0.137	1.4	0.5	0.137	2.2	0.137	3.1	0.137	4	0.137
0.138	0.1	0.138	1.3	0.5	0.138	2.2	0.138	3.1	0.138	4	0.138
0.139	0.1	0.139	1.3	0.5	0.139	2.2	0.139	3.1	0.139	4	0.139
0.14	0.1	0.14	1.3	0.5	0.14	2.2	0.14	3	0.14	3.9	0.14
0.141	0.1	0.141	1.3	0.5	0.141	2.2	0.141	3	0.141	3.9	0.141
0.142	0.1	0.142	1.3	0.5	0.142	2.1	0.142	3	0.142	3.9	0.142
0.143	0.1	0.143	1.3	0.5	0.143	2.1	0.143	3	0.143	3.9	0.143
0.144	0.1	0.144	1.3	0.5	0.144	2.1	0.144	3	0.144	3.8	0.144
0.145	0.1	0.145	1.3	0.5	0.145	2.1	0.145	2.9	0.145	3.8	0.145
0.146	0.1	0.146	1.3	0.5	0.146	2.1	0.146	2.9	0.146	3.8	0.146
0.147	0.1	0.147	1.3	0.5	0.147	2.1	0.147	2.9	0.147	3.7	0.147
0.148	0.1	0.148	1.2	0.5	0.148	2.1	0.148	2.9	0.148	3.7	0.148
0.149	0.1	0.149	1.2	0.5	0.149	2	0.149	2.9	0.149	3.7	0.149
0.15	0.1	0.15	1.2	0.4	0.15	2	0.15	2.8	0.15	3.7	0.15

